Season,Episode,Year,Episode Title,"Crime (Actual crime/crimes committed. e.g. rape, murder)",Number of victims (enter a number),Victim Gender,Victim Race,Number of criminals,Criminal Gender,Criminal Race,Notes
1,1,2001,One,Murder,3,"2 male, 1 female",White,1,Male,White,
1,2,2001,Art,Murder,2,"1 male, 1 female",White,2,"1 male, 1 female",White,
1,3,2001,Smothered,Murder,1,Female,White,2,"1 male, 1 female",White,
1,4,2001,The Faithful,Murder,2,Male,"1 black, 1 white",2,Male,White,
1,5,2001,Jones,Murder,4,Female,"1 hispanic, 3 white",1,Male,White,
1,6,2001,The Extra Man,Murder,1,Male,Hispanic,1,Male,White,
1,7,2001,Poison,Murder,3,"1 Female, 2 male",White,1,Female,White,"These are the known victims. Since this is a mass poisoning case, there might be more"
1,8,2001,The Pardoner's Tale,Murder,2,"1 male, 1 female",White,4,Male,"3 white, 1 black",
1,9,2001,The Good Doctor,Murder,1,Female,White,1,Male,White,
1,10,2001,Enemy Within,Murder,1,Male,White,3,"2 male, 1 female",White,
1,11,2002,The Third Horseman,Murder,1,Male,White,1,Male,White,
1,12,2002,Crazy,Murder,1,Male,White,2,Male,White,
1,13,2002,The Insider,Murder,1,Male,White,1,Male,White,
1,14,2002,Homo Homini Lupis,"Kidnapping, rape",3,Female,White,1,Male,White,
1,15,2002,Semi-Professional,Murder,1,Female,White,2,Male,White,
1,16,2002,Phantom,"Murder, attempted murder",3,"2 male, 1 female",White,1,Male,White,
1,17,2002,Seizure,Murder,1,Female,White,2,"1 Male, 1 female",White,
1,18,2002,Yesterday,Murder,3,"2 female, 1 male","2 white, 1 unknown",1,Male,White,
1,19,2002,Maledictus,Murder,1,Female,White,1,Male,White,
1,20,2002,Badge,Murder,3,"2 male, 1 female",White,1,Female,Black,
1,21,2002,Faith,Murder,1,Male,White,1,Female,White,
1,22,2002,Tuxedo Hill,Murder,1,Male,White,1,Male,White,
2,1,2002,Dead,Murder,1,Male,White,1,Male,White,
2,2,2002,Bright Boy,Murder,2,"1 female, 1 male",White,1,Male,White,
2,3,2002,Anti-Thesis,Murder,2,Male,White,1,Female,white,
2,4,2002,Best Defense,Murder,1,Male,White,1,Male,White,
2,5,2002,Chinoiserie,Murder,1,Female,Asian,1,Male,Asian,
2,6,2002,Malignant,Murder,3,"2 male, 1 female",White,2,Male,White,
2,7,2002,Tomorrow,Murder,2,"1 male, 1 female",White,2,Female,White,
2,8,2002,The Pilgrim,Murder,1,Female,White,1,Male,Hispanic,
2,9,2002,Shandeh,Murder,1,Female,White,3,"2 male, 1 female",White,
2,10,2003,Con-Text,Murder,3,"2 male, 1 female",White,2,Male,White,
2,11,2003,Baggage,Murder,1,Female,White,1,Male,White,
2,12,2003,Suite Sorrow,Murder,2,"1 female, 1 male",White,2,"1 female, 1 male",White,
2,13,2003,See Me,Murder,1,Male,White,1,Male,White,
2,14,2003,Probability,Murder,2,Male,"1 white, 1 black",2,Male,"1 black, 1 white",
2,15,2003,Monster,"Murder, rape",2,Female,White,2,Male,White,
2,16,2003,Cuba Libre,Murder,2,Female,"1 white, 1 hispanic",3,Male,"2 black, 1 white",
2,17,2003,Cold Comfort,Murder,1,Female,White,1,Male,White,
2,18,2003,Legion,Murder,2,Male,Hispanic,1,Male,Hispanic,
2,19,2003,Cherry Red,Murder,2,Female,White,2,Male,White,
2,20,2003,Blink,Murder,1,Female,Asian,1,Male,White,
2,21,2003,Graansha,Murder,1,Female,White,1,Male,White,
2,22,2003,Zoonotic,Murder,1,Male,White,2,Male,White,
2,23,2003,A Person of Interest,Murder,2,"1 female, 1 male",White,1,Female,White,
3,1,2003,Undaunted Mettle,Murder,1,Male,White,1,Female,White,
3,2,2003,Gemini,Murder,3,Male,White,2,Male,White,
3,3,2003,The Gift,Murder,1,Male,White,1,Male,White,
3,4,2003,But Not Forgotten,Murder,1,Male,White,1,Male,White,
3,5,2003,Pravda,Murder,1,Female,White,1,Male,Black,
3,6,2003,Stray,Murder,9,"7 male, 2 female",Black,2,"1 male, 1 female",Black,
3,7,2003,A Murderer Among Us,Murder,8,Male,White,1,Male,White,
3,8,2003,Sound Bodies,Murder,7,"4 male, 3 female",White,4,"1 male, 3 female",White,
3,9,2003,Happy Family,Murder,1,Male,White,1,Male,White,
3,10,2004,F.P.S.,Murder,1,Female,White,1,Male,White,
