Season,Episode,Episode Title,"Crime (Actual crime/crimes committed. e.g. rape, murder)",Number of victims (enter a number),Victim Gender,Victim Race,Number of criminals,Criminal Gender,Criminal Race,Notes
1,1,One,Murder,3,"2 male, 1 female",White,1,Male,White,
1,2,Art,Murder,2,"1 male, 1 female",White,2,"1 male, 1 female",White,
1,3,Smothered,Murder,1,Female,White,2,"1 male, 1 female",White,
1,4,The Faithful,Murder,2,Male,"1 black, 1 white",2,Male,White,
1,5,Jones,Murder,4,Female,"1 hispanic, 3 white",1,Male,White,
1,6,The Extra Man,Murder,1,Male,Hispanic,1,Male,White,
1,7,Poison,Murder,3,1 Female and 2 male,White,1,Female,White,"These are the known victims. Since this is a mass poisoning case, there might be more"
1,8,The Pardoner's Tale,Murder,2,"1 male, 1 female",White,4,Male,"3 white, 1 black",
1,9,The Good Doctor,Murder,1,Female,White,1,Male,White,
1,10,Enemy Within,Murder,1,Male,White,3,"2 male, 1 female",White,
1,11,The Third Horseman,Murder,1,Male,White,1,Male,White,
1,12,Crazy,Murder,1,Male,White,2,Male,White,
1,13,The Insider,Murder,1,Male,White,1,Male,White,
1,14,Homo Homini Lupis,"Kidnapping, rape",3,Female,White,1,Male,White,
1,15,Semi-Professional,Murder,1,Female,White,2,Male,White,
1,16,Phantom,"Murder, attempted murder",3,"2 male, 1 female",White,1,Male,White,
1,17,Seizure,Murder,1,Female,White,2,"1 Male, 1 female",White,
1,18,Yesterday,Murder,3,"2 female, 1 male","2 white, 1 unknown",1,Male,White,
1,19,Maledictus,Murder,1,Female,White,1,Male,White,
1,20,Badge,Murder,3,"2 male, 1 female",White,1,Female,Black,
1,21,Faith,Murder,1,Male,White,1,Female,White,
1,22,Tuxedo Hill,Murder,1,Male,White,1,Male,White,
2,1,Dead,Murder,1,Male,White,1,Male,White,
2,2,Bright Boy,Murder,2,"1 female, 1 male",White,1,Male,White,
2,3,Anti-Thesis,Murder,2,Male,White,1,Female,white,
2,4,Best Defense,Murder,1,Male,White,1,Male,White,
2,5,Chinoiserie,Murder,1,Female,Asian,1,Male,Asian,
2,6,Malignant,Murder,3,"2 male, 1 female",White,2,Male,White,
2,7,Tomorrow,Murder,2,"1 male, 1 female",White,2,Female,White,
2,8,The Pilgrim,Murder,1,Female,White,1,Male,Hispanic,
2,9,Shandeh,Murder,1,Female,White,3,"2 male, 1 female",White,
2,10,Con-Text,Murder,3,"2 male, 1 female",White,2,Male,White,
2,11,Baggage,Murder,1,Female,White,1,Male,White,
2,12,Suite Sorrow,Murder,2,"1 female, 1 male",White,2,"1 female, 1 male",White,
2,13,See Me,Murder,1,Male,White,1,Male,White,
2,14,Probability,Murder,2,Male,"1 white, 1 black",2,Male,"1 black, 1 white",
2,15,Monster,"Murder, rape",2,Female,White,2,Male,White,
2,16,Cuba Libre,Murder,2,Female,"1 white, 1 hispanic",3,Male,"2 black, 1 white",
2,17,Cold Comfort,Murder,1,Female,White,1,Male,White,
2,18,Legion,Murder,2,Male,Hispanic,1,Male,Hispanic,
2,19,Cherry Red,Murder,2,Female,White,2,Male,White,
2,20,Blink,Murder,1,Female,Asian,1,Male,White,
2,21,Graansha,Murder,1,Female,White,1,Male,White,
2,22,Zoonotic,Murder,1,Male,White,2,Male,White,
2,23,A Person of Interest,Murder,2,"1 female, 1 male",White,1,Female,White,
3,1,Undaunted Mettle,Murder,1,Male,White,1,Female,White,
3,2,Gemini,Murder,3,Male,White,2,Male,White,
3,3,The Gift,Murder,1,Male,White,1,Male,White,
3,4,But Not Forgotten,Murder,1,Male,White,1,Male,White,
3,5,Pravda,Murder,1,Female,White,1,Male,Black,
3,6,Stray,Murder,9,"7 male, 2 female",Black,2,"1 male, 1 female",Black,
3,7,A Murderer Among Us,Murder,8,Male,White,1,Male,White,
3,8,Sound Bodies,Murder,7,"4 male, 3 female",White,4,"1 male, 3 female",White,
3,9,Happy Family,Murder,1,Male,White,1,Male,White,
3,10,F.P.S.,Murder,1,Female,White,1,Male,White,
3,11,Mad Hops,Murder,2,Male,Black,1,Male,White,
3,12,Unrequited,Murder,2,"1 male, 1 female",White,3,"2 male, 1 female",White,
3,13,Pas de Deux,Murder,1,Male,White,1,Male,White,
3,14,Mis-Labeled,Murder,1,Male,White,1,Male,White,
3,15,Shrink-Wrapped,Murder,1,Male,White,1,Female,White,
3,16,The Saint,Murder,1,Female,White,1,Male,White,
3,17,Conscience,Murder,1,Female,White,1,Male,White,
3,18,Ill-Bred,Murder,1,Female,White,1,Female,White,
3,19,Fico Di Capo,Murder,3,"2 male, 1 female",White,2,Male,White,
3,20,D.A.W.,Murder,2,Female,Black,1,Male,White,
3,21,Consumed,Murder,3,Male,Hispanic,1,Female,White,
4,1,Semi-Detached,Murder,1,Male,White,1,Female,White,
4,2,The Posthumous Collection,Murder,1,Male,White,1,Male,White,
4,3,Want,"Murder, assault",3,"2 female, 1 male",White,2,Male,"1 white, 1 unknown",
4,4,Great Barrier,"Attempted murder, Murder",4,"2 male, 2 female","3 white, 1 asian",1,Female,White,
4,5,Eosphoros,"Kidnapping, murder",3,"2 female, 1 male",White,1,Male,White,
4,6,In the Dark,Murder,9,"1 male, 1 female, 7 unknown","2 white, 7 unknown",1,Male,White,
4,7,Magnificat,Murder,3,Male,White,1,Female,White,
4,8,Silver Lining,Murder,1,Female,White,1,Female,White,
