Timestamp,season,episode,year,title,crime,n_victims,v_sex,v_race,n_criminals,c_sex,c_race,notes
2016/05/31 12:47:23 AM AST,3,1,2001,Repression,Rape and Molestation,2,2 female,2 white,1,Male,White,"At the end of the episode the therapist (helping the rape victim and her sister) is charged with reckless endangerment and the death of the father (planting false memories into the rape victims mind, which leads to the accidental death of the father). "
2016/05/31 12:52:29 AM AST,3,2,2001,Wrath,Murder,3,"1 female, 2 male","2 white, 1 black",1,Male,White,white male/black male/white female
2016/05/31 12:54:12 AM AST,3,3,2001,Stolen,Baby kidnapping,1,Female,White,1,Female,White,
2016/05/31 1:45:57 AM AST,3,4,2001,Rooftop,4 Murders and 5 Rapes/ Possession of Narcotics,9,Female,Black,1,Male,Black,
2016/05/31 2:11:38 AM AST,3,5,2001,Tangled,2 rapes/2 murders,4,"2 female, 2 male",White,2,"1 female, 1 male",White,"2 females raped, 2 males killed"
2016/06/02 3:35:48 PM AST,3,6,2001,Redemption,1 Rape and 2 murders,3,3 female,3 white,2,2 male,2 white,"2 separate cases. 1st, white male gets away with raping white female. 2nd, white male murders two white females."
2016/06/02 3:36:53 PM AST,3,7,2001,Sacrifice,Murder,1,Male,White,1,Male,White,
2016/06/02 3:38:40 PM AST,3,8,2001,Inheritance,Rape and burglary,1,Female,Asian,6,6 male,Asian,5 criminals for burglary and 1 for rape.
2016/06/02 3:39:29 PM AST,3,9,2001,Care,Murder,1,Female,Black,1,Female,White,
2016/06/02 3:43:11 PM AST,3,10,2001,Ridicule,murder and Assault,2,"1 female, 1 male",2 white,2,Female,White,female murdered and male assaulted
2016/06/02 3:44:52 PM AST,3,11,2002,Monogamy,Assault and Murder,2,"1 female, 1 male",2 white,1,Male,White,Male fetus was removed from mother and killed.
2016/06/02 3:45:39 PM AST,3,12,2002,Protection,murder,1,Male,Hispanic,1,Male,Hispanic,
2016/06/02 3:46:52 PM AST,3,13,2002,Prodigy,Murders,2,"1 female, 1 male",2 white,1,Male,White,
2016/06/02 3:54:55 PM AST,3,14,2002,Counterfeit,Murder and multiple rapes,multiple,Female,mixed,1,Male,White,
2016/06/02 3:57:18 PM AST,3,15,2002,Execution,Rape murder,1,Female,White,1,Male,White,
2016/06/02 3:58:26 PM AST,3,16,2002,Popular,Rape,1,Female,White,1,Male,White,
2016/06/02 4:00:08 PM AST,3,17,2002,Surveillance,Rape murder,2,"1 female, 1 male",2 white,1,Female,White,female raped and male murdered
2016/06/02 4:02:21 PM AST,3,18,2002,Guilt,Child Molestation,1,Male,White,1,Male,White,Multiple victims come forward at the end (descriptions aren't given).
2016/06/02 4:03:19 PM AST,3,19,2002,Justice,Murder,1,Female,White,1,Female,White,
2016/06/02 4:04:19 PM AST,3,20,2002,Greed,conspiracy to commit murder and robbery  ,1,Female,White,2,"1 female, 1 male",White,
2016/06/02 4:06:47 PM AST,3,21,2002,Denial,"Rape, Murder, and obstruction of Justice",3,"2 female, 1 male",3 white,3,"2 female, 1 male",White,"I listed the crimes, victims, and criminals in order."
2016/06/02 4:07:39 PM AST,3,22,2002,Competence,Rape,1,Female,White,1,Male,White,
2016/06/02 4:09:36 PM AST,3,23,2002,Silence,Murder and rapes,Multiple,"1 male, uknown","1 white, uknown",1,Male,White,1 male white murder victim and multiple victims of rape (no description given).
2016/06/04 3:08:02 PM AST,4,1,2002,Chameleon,murders,multiple,"1 female, uknown",multiple,2,"1 male, 1 female",2 white,"Prostitute hung by white male, and female serial killer kills multiple males."
2016/06/04 3:10:14 PM AST,4,4,2002,Deception,murder and sex with minor,2,Male,White,1,Female,White,"White male murdered by white female and same female had sex with white male minor. 
"
2016/06/04 3:11:53 PM AST,4,3,2002,Vulnerable,murders,7,both,multiple,1,Female,White,
2016/06/04 3:12:36 PM AST,4,4,2002,Lust,murder,2,Female,White,1,Male,White,
