year,all_crime_perc_white,all_crime_perc_black,all_crime_perc_men,violent_crime_perc_white,violent_crime_perc_black,violent_crime_perc_men,homicides_perc_white,homicides_perc_black,homicides_perc_men,rape_perc_white,rape_perc_black,rape_perc_men,assault_perc_white,assault_perc_black,assault_perc_men
1995,66.8,30.9,79.6,54.3,43.7,85.1,43.4,54.4,90.5,55.6,42.4,98.8,59.6,38.4,82.3
1996,66.9,30.7,79.4,54.6,43.2,84.9,42.8,54.9,89.7,56.1,41.6,98.8,59.6,38.1,82.1
1997,67.1,30.4,78.4,56.8,41.1,83.8,41.9,56.4,89.7,58.2,39.7,98.7,61.2,36.6,81.2
1998,68,29.7,78.2,57.7,40.2,83.2,44.5,53.4,88.8,60.2,37.5,98.8,61.6,36.3,80.4
1999,69,28.6,78.2,59.2,38.7,83,45.9,51.8,88.6,61.5,36.2,98.7,63,34.8,80.3
2000,69.7,27.9,77.8,59.9,37.8,82.6,48.7,48.8,89.4,63.7,34.1,98.9,63.5,34,79.9
2001,69.5,28.1,77.5,60.2,37.6,82.7,48.4,48.7,87.5,62.7,34.8,98.8,64,33.7,79.9
2002,70.7,26.9,77,59.7,38,82.6,47.7,50,89.2,63.4,34,98.6,63.4,34.2,79.8
2003,70.6,27,76.8,60.5,37.2,82.2,49.1,48.5,89.7,64.1,33.3,98.7,64.7,33,79.3
2004,70.8,26.8,76.2,60.9,36.9,82.1,50.5,47.2,88.5,65.7,31.9,98.5,64.9,32.7,79.2
2005,69.8,27.8,76.2,59,38.8,82.1,49.1,48.6,89,65.1,32.7,98.5,63.3,34.3,79.2
2006,69.7,28,76.3,58.5,39.3,82.2,46.9,50.9,89.1,65.3,32.5,98.7,63.2,34.5,79.3
2007,69.7,28.2,75.8,58.9,39,81.8,47.6,50.4,89.8,64.4,33.5,98.9,64,33.7,78.7
2008,69.2,28.3,75.5,58.3,39.4,81.7,47.9,50.1,89.2,65.2,32.2,98.8,63.3,34.2,78.5
2009,69.1,28.3,74.7,58.7,38.9,81.2,48.7,49.3,89.6,65.1,32.5,98.7,63.5,33.9,78
2010,69.4,28,74.5,59.3,38.1,80.5,49.3,48.7,89.1,65.7,31.8,98.9,63.7,33.5,77.4
2011,69.2,28.4,74.1,59.4,38.3,80.4,48,49.7,88.2,65,32.9,98.8,63.9,33.6,77.3
2012,69.3,28.1,73.8,58.7,38.5,80.1,48.2,49.4,88.7,65,32.5,99.1,62.8,34.1,77.1
2013,68.9,28.3,73.5,58.4,38.7,79.9,45.3,52.2,88.3,66.2,31.3,98.1,62.9,33.9,77
2014,69.4,27.8,73.3,59.4,37.7,79.8,46.3,51.3,88.5,67.2,29.9,97.2,63.7,33.1,77
2015,69.7,26.6,73.1,60.1,36.4,79.7,45.9,51.1,88.5,68,28.2,97.1,64,32.1,76.9
